Frame,AX,AY,AZ,GX,GY,GZ
515,50,60,8057,2,3,11
516,50,60,8057,2,3,11
517,50,60,8057,2,3,11
518,40,60,8055,2,2,11
519,40,60,8055,2,2,11
520,40,60,8055,2,2,11
521,40,60,8055,2,2,11
522,40,60,8055,2,2,11
523,40,60,8055,2,2,11
524,40,60,8055,2,2,11
525,40,60,8055,2,2,11
526,40,60,8055,2,2,11
527,40,60,8055,2,2,11
528,40,60,8055,2,2,11
529,40,60,8055,2,2,11
530,40,60,8055,2,2,11
531,40,60,8055,2,2,11
532,40,60,8055,2,2,11
533,40,60,8055,2,2,11
534,40,60,8055,2,2,11
535,40,60,8055,2,2,11
536,40,60,8055,2,2,11
537,40,60,8055,2,2,11
538,40,60,8055,2,2,11
539,40,60,8055,2,2,11
540,40,60,8055,2,2,11
541,40,60,8055,2,2,11
542,40,60,8055,2,2,11
543,40,60,8055,2,2,11
544,40,60,8055,2,2,11
545,40,60,8055,2,2,11
546,40,60,8055,2,2,11
547,40,60,8055,2,2,11
548,40,60,8055,2,2,11
549,40,60,8055,2,2,11
550,40,60,8055,2,2,11
551,40,60,8055,2,2,11
552,40,60,8055,2,2,11
553,40,60,8055,2,2,11
554,40,60,8055,2,2,11
555,40,60,8055,2,2,11
556,40,60,8055,2,2,11
557,40,60,8055,2,2,11
558,40,60,8055,2,2,11
559,40,60,8055,2,2,11
560,40,60,8055,2,2,11
561,40,60,8055,2,2,11
562,40,60,8055,2,2,11
563,40,60,8055,2,2,11
564,40,60,8055,2,2,11
565,40,60,8055,2,2,11
566,40,60,8055,2,2,11
567,40,60,8055,2,2,11
568,40,60,8055,2,2,11
569,40,60,8055,2,2,11
570,40,60,8055,2,2,11
571,40,60,8055,2,2,11
572,40,60,8055,2,2,11
573,40,60,8055,2,2,11
574,40,60,8055,2,2,11
575,40,60,8055,2,2,11
576,40,60,8055,2,2,11
577,40,60,8055,2,2,11
578,40,60,8055,2,2,11
579,40,60,8055,2,2,11
580,40,60,8055,2,2,11
581,40,60,8055,2,2,11
582,40,60,8055,2,2,11
583,40,60,8055,2,2,11
584,40,60,8055,2,2,11
585,40,70,8151,2,1,11
586,24,70,8151,2,1,11
587,24,70,8151,2,1,11
588,24,70,8151,2,1,11
589,24,70,8151,2,1,11
590,24,70,8151,2,1,11
591,24,70,8151,2,1,11
592,24,70,8151,2,1,11
593,24,70,8151,2,1,11
594,24,70,8151,2,1,11
595,24,70,8151,2,1,11
596,24,70,8151,2,1,11
597,24,70,8151,2,1,11
598,24,70,8151,2,1,11
599,24,70,8151,2,1,11
600,24,70,8151,2,1,11
601,24,70,8151,2,1,11
602,24,70,8151,2,1,11
603,24,70,8151,2,1,11
604,24,70,8151,2,1,11
605,24,70,8151,2,1,11
606,24,70,8151,2,1,11
607,24,70,8151,2,1,11
608,24,70,8151,2,1,11
609,24,70,8151,2,1,11
610,24,70,8151,2,1,11
611,24,70,8151,2,1,11
612,24,70,8151,2,1,11
613,24,70,8151,2,1,11
614,24,70,8151,2,1,11
615,24,70,8151,2,1,11
616,24,70,8151,2,1,11
617,24,70,8151,2,1,11
618,24,70,8151,2,1,11
619,24,70,8151,2,1,11
620,24,70,8151,2,1,11
621,24,70,8151,2,1,11
622,24,70,8151,2,1,11
623,24,70,8151,2,1,11
624,24,70,8151,2,1,11
625,24,70,8151,2,1,11
626,24,70,8151,2,1,11
627,24,70,8151,2,1,11
628,24,70,8151,2,1,11
629,24,70,8151,2,1,11
630,24,70,8151,2,1,11
631,24,70,8151,2,1,11
632,24,70,8151,2,1,11
633,24,70,8151,2,1,11
634,24,70,8151,2,1,11
635,24,70,8151,2,1,11
636,24,70,8151,2,1,11
637,24,70,8151,2,1,11
638,24,70,8151,2,1,11
639,24,70,8151,2,1,11
640,24,70,8151,2,1,11
641,24,70,8151,2,1,11
642,24,70,8151,2,1,11
643,24,70,8151,2,1,11
644,24,70,8151,2,1,11
645,24,70,8151,2,1,11
646,24,70,8151,2,1,11
