Zaman,Hex_Veri,Decimal_Veri,Angle
2026-07-24 16:59:25,12,18,12.705882352941176
2026-07-24 16:59:25,11,17,12.0
2026-07-24 16:59:25,11,17,12.0
2026-07-24 16:59:25,10,16,11.294117647058824
2026-07-24 16:59:25,0F,15,10.588235294117647
2026-07-24 16:59:25,0E,14,9.882352941176471
2026-07-24 16:59:25,0F,15,10.588235294117647
2026-07-24 16:59:25,0F,15,10.588235294117647
2026-07-24 16:59:25,0F,15,10.588235294117647
2026-07-24 16:59:26,0F,15,10.588235294117647
2026-07-24 16:59:26,0F,15,10.588235294117647
2026-07-24 16:59:26,0E,14,9.882352941176471
2026-07-24 16:59:26,0F,15,10.588235294117647
2026-07-24 16:59:26,0F,15,10.588235294117647
2026-07-24 16:59:26,05,5,3.5294117647058822
2026-07-24 16:59:26,00,0,0.0
2026-07-24 16:59:26,00,0,0.0
2026-07-24 16:59:26,00,0,0.0
2026-07-24 16:59:26,00,0,0.0
2026-07-24 16:59:27,00,0,0.0
2026-07-24 16:59:27,00,0,0.0
2026-07-24 16:59:27,00,0,0.0
2026-07-24 16:59:27,00,0,0.0
2026-07-24 16:59:27,00,0,0.0
2026-07-24 16:59:27,00,0,0.0
2026-07-24 16:59:27,12,18,12.705882352941176
2026-07-24 16:59:27,22,34,24.0
2026-07-24 16:59:27,1F,31,21.88235294117647
2026-07-24 16:59:27,14,20,14.117647058823529
2026-07-24 16:59:28,15,21,14.823529411764707
2026-07-24 16:59:28,15,21,14.823529411764707
2026-07-24 16:59:28,14,20,14.117647058823529
2026-07-24 16:59:28,15,21,14.823529411764707
2026-07-24 16:59:28,15,21,14.823529411764707
2026-07-24 16:59:28,15,21,14.823529411764707
2026-07-24 16:59:28,16,22,15.529411764705882
2026-07-24 16:59:28,18,24,16.941176470588236
2026-07-24 16:59:28,1E,30,21.176470588235293
2026-07-24 16:59:28,24,36,25.41176470588235
2026-07-24 16:59:29,2D,45,31.764705882352942
2026-07-24 16:59:29,35,53,37.411764705882355
2026-07-24 16:59:29,3D,61,43.05882352941177
2026-07-24 16:59:29,45,69,48.705882352941174
2026-07-24 16:59:29,4D,77,54.35294117647059
2026-07-24 16:59:29,56,86,60.705882352941174
2026-07-24 16:59:29,5C,92,64.94117647058823
2026-07-24 16:59:29,63,99,69.88235294117646
2026-07-24 16:59:29,6A,106,74.82352941176471
2026-07-24 16:59:29,6F,111,78.3529411764706
2026-07-24 16:59:30,72,114,80.47058823529412
2026-07-24 16:59:30,72,114,80.47058823529412
2026-07-24 16:59:30,72,114,80.47058823529412
2026-07-24 16:59:30,71,113,79.76470588235294
2026-07-24 16:59:30,73,115,81.17647058823529
2026-07-24 16:59:30,76,118,83.29411764705883
2026-07-24 16:59:30,76,118,83.29411764705883
2026-07-24 16:59:30,76,118,83.29411764705883
2026-07-24 16:59:30,76,118,83.29411764705883
2026-07-24 16:59:30,76,118,83.29411764705883
2026-07-24 16:59:31,76,118,83.29411764705883
2026-07-24 16:59:31,76,118,83.29411764705883
2026-07-24 16:59:31,76,118,83.29411764705883
2026-07-24 16:59:31,76,118,83.29411764705883
2026-07-24 16:59:31,76,118,83.29411764705883
2026-07-24 16:59:31,78,120,84.70588235294117
2026-07-24 16:59:31,79,121,85.41176470588235
2026-07-24 16:59:31,79,121,85.41176470588235
2026-07-24 16:59:31,79,121,85.41176470588235
2026-07-24 16:59:31,79,121,85.41176470588235
2026-07-24 16:59:32,79,121,85.41176470588235
2026-07-24 16:59:32,78,120,84.70588235294117
2026-07-24 16:59:32,79,121,85.41176470588235
2026-07-24 16:59:32,7B,123,86.82352941176471
2026-07-24 16:59:32,7B,123,86.82352941176471
2026-07-24 16:59:32,7B,123,86.82352941176471
2026-07-24 16:59:32,7D,125,88.23529411764706
2026-07-24 16:59:32,7E,126,88.94117647058823
2026-07-24 16:59:32,7F,127,89.6470588235294
2026-07-24 16:59:32,81,129,91.05882352941177
2026-07-24 16:59:33,81,129,91.05882352941177
2026-07-24 16:59:33,81,129,91.05882352941177
2026-07-24 16:59:33,81,129,91.05882352941177
2026-07-24 16:59:33,83,131,92.47058823529412
2026-07-24 16:59:33,83,131,92.47058823529412
2026-07-24 16:59:33,83,131,92.47058823529412
2026-07-24 16:59:33,83,131,92.47058823529412
2026-07-24 16:59:33,82,130,91.76470588235294
2026-07-24 16:59:33,83,131,92.47058823529412
2026-07-24 16:59:33,83,131,92.47058823529412
2026-07-24 16:59:34,86,134,94.58823529411765
2026-07-24 16:59:34,8A,138,97.41176470588235
2026-07-24 16:59:34,8C,140,98.82352941176471
2026-07-24 16:59:34,8C,140,98.82352941176471
2026-07-24 16:59:34,8C,140,98.82352941176471
2026-07-24 16:59:34,8B,139,98.11764705882354
2026-07-24 16:59:34,8C,140,98.82352941176471
2026-07-24 16:59:34,8A,138,97.41176470588235
2026-07-24 16:59:34,81,129,91.05882352941177
2026-07-24 16:59:34,82,130,91.76470588235294
2026-07-24 16:59:35,82,130,91.76470588235294
2026-07-24 16:59:35,82,130,91.76470588235294
2026-07-24 16:59:35,82,130,91.76470588235294
2026-07-24 16:59:35,82,130,91.76470588235294
2026-07-24 16:59:35,81,129,91.05882352941177
2026-07-24 16:59:35,81,129,91.05882352941177
2026-07-24 16:59:35,82,130,91.76470588235294
2026-07-24 16:59:35,82,130,91.76470588235294
2026-07-24 16:59:35,82,130,91.76470588235294
2026-07-24 16:59:35,82,130,91.76470588235294
2026-07-24 16:59:36,82,130,91.76470588235294
2026-07-24 16:59:36,82,130,91.76470588235294
2026-07-24 16:59:36,82,130,91.76470588235294
2026-07-24 16:59:36,82,130,91.76470588235294
2026-07-24 16:59:36,82,130,91.76470588235294
2026-07-24 16:59:36,81,129,91.05882352941177
2026-07-24 16:59:36,82,130,91.76470588235294
2026-07-24 16:59:36,82,130,91.76470588235294
2026-07-24 16:59:36,82,130,91.76470588235294
2026-07-24 16:59:36,82,130,91.76470588235294
2026-07-24 16:59:37,85,133,93.88235294117646
2026-07-24 16:59:37,85,133,93.88235294117646
2026-07-24 16:59:37,85,133,93.88235294117646
2026-07-24 16:59:37,85,133,93.88235294117646
2026-07-24 16:59:37,85,133,93.88235294117646
2026-07-24 16:59:37,88,136,96.0
2026-07-24 16:59:37,8A,138,97.41176470588235
2026-07-24 16:59:37,8C,140,98.82352941176471
2026-07-24 16:59:37,91,145,102.3529411764706
2026-07-24 16:59:37,94,148,104.47058823529412
2026-07-24 16:59:38,97,151,106.58823529411765
2026-07-24 16:59:38,9A,154,108.70588235294117
2026-07-24 16:59:38,9C,156,110.11764705882354
2026-07-24 16:59:38,9D,157,110.82352941176471
2026-07-24 16:59:38,9E,158,111.52941176470588
2026-07-24 16:59:38,9D,157,110.82352941176471
2026-07-24 16:59:38,9D,157,110.82352941176471
2026-07-24 16:59:38,9E,158,111.52941176470588
2026-07-24 16:59:38,9E,158,111.52941176470588
2026-07-24 16:59:38,9E,158,111.52941176470588
2026-07-24 16:59:39,9D,157,110.82352941176471
2026-07-24 16:59:39,9E,158,111.52941176470588
2026-07-24 16:59:39,9E,158,111.52941176470588
2026-07-24 16:59:39,9E,158,111.52941176470588
2026-07-24 16:59:39,9E,158,111.52941176470588
2026-07-24 16:59:39,9E,158,111.52941176470588
2026-07-24 16:59:39,9E,158,111.52941176470588
2026-07-24 16:59:39,9E,158,111.52941176470588
2026-07-24 16:59:39,9E,158,111.52941176470588
2026-07-24 16:59:39,9F,159,112.23529411764706
2026-07-24 16:59:40,A5,165,116.47058823529412
2026-07-24 16:59:40,AE,174,122.82352941176471
2026-07-24 16:59:40,B7,183,129.1764705882353
2026-07-24 16:59:40,BE,190,134.11764705882354
2026-07-24 16:59:40,C1,193,136.23529411764707
2026-07-24 16:59:40,C6,198,139.76470588235293
2026-07-24 16:59:40,CC,204,144.0
2026-07-24 16:59:40,D1,209,147.52941176470588
2026-07-24 16:59:40,D4,212,149.64705882352942
2026-07-24 16:59:40,D8,216,152.47058823529412
2026-07-24 16:59:41,DC,220,155.2941176470588
2026-07-24 16:59:41,E0,224,158.11764705882354
2026-07-24 16:59:41,E3,227,160.23529411764707
2026-07-24 16:59:41,E6,230,162.35294117647058
2026-07-24 16:59:41,E8,232,163.76470588235293
2026-07-24 16:59:41,EC,236,166.58823529411765
2026-07-24 16:59:41,F0,240,169.41176470588235
2026-07-24 16:59:41,F3,243,171.52941176470588
2026-07-24 16:59:41,F5,245,172.94117647058823
2026-07-24 16:59:41,F8,248,175.05882352941177
2026-07-24 16:59:42,FB,251,177.1764705882353
2026-07-24 16:59:42,FD,253,178.58823529411765
2026-07-24 16:59:42,FF,255,180.0
2026-07-24 16:59:42,FF,255,180.0
2026-07-24 16:59:42,FF,255,180.0
2026-07-24 16:59:42,FF,255,180.0
2026-07-24 16:59:42,FF,255,180.0
2026-07-24 16:59:42,FF,255,180.0
2026-07-24 16:59:42,FF,255,180.0
2026-07-24 16:59:42,FF,255,180.0
2026-07-24 16:59:43,FF,255,180.0
2026-07-24 16:59:43,FF,255,180.0
2026-07-24 16:59:43,FF,255,180.0
2026-07-24 16:59:43,FF,255,180.0
2026-07-24 16:59:43,FF,255,180.0
2026-07-24 16:59:43,FF,255,180.0
2026-07-24 16:59:43,FF,255,180.0
2026-07-24 16:59:43,FF,255,180.0
2026-07-24 16:59:43,FF,255,180.0
2026-07-24 16:59:43,FF,255,180.0
2026-07-24 16:59:44,FF,255,180.0
2026-07-24 16:59:44,FF,255,180.0
2026-07-24 16:59:44,FF,255,180.0
2026-07-24 16:59:44,FF,255,180.0
2026-07-24 16:59:44,FF,255,180.0
2026-07-24 16:59:44,FF,255,180.0
2026-07-24 16:59:44,FF,255,180.0
2026-07-24 16:59:44,FF,255,180.0
2026-07-24 16:59:44,FF,255,180.0
2026-07-24 16:59:44,FF,255,180.0
2026-07-24 16:59:45,FF,255,180.0
2026-07-24 16:59:45,FF,255,180.0
2026-07-24 16:59:45,FF,255,180.0
2026-07-24 16:59:45,FF,255,180.0
2026-07-24 16:59:45,FF,255,180.0
2026-07-24 16:59:45,FF,255,180.0
